Vùng kinh tế - Xã hội,Địa phương
Vùng trung du và miền núi phía Bắc,Hà Giang
Vùng trung du và miền núi phía Bắc,Cao Bằng
Vùng trung du và miền núi phía Bắc,Lạng Sơn
Vùng trung du và miền núi phía Bắc,Bắc Giang
Vùng trung du và miền núi phía Bắc,Phú Thọ
Vùng trung du và miền núi phía Bắc,Thái Nguyên
Vùng trung du và miền núi phía Bắc,Bắc Kạn
Vùng trung du và miền núi phía Bắc,Tuyên Quang
Vùng trung du và miền núi phía Bắc,Lào Cai
Vùng trung du và miền núi phía Bắc,Yên Bái
Vùng trung du và miền núi phía Bắc,Lai Châu
Vùng trung du và miền núi phía Bắc,Sơn La
Vùng trung du và miền núi phía Bắc,Điện Biên và Hòa Bình.
Vùng đồng bằng sông Hồng,Hà Nội
Vùng đồng bằng sông Hồng,Hải Phòng
Vùng đồng bằng sông Hồng,Hải Dương
Vùng đồng bằng sông Hồng,Hưng Yên
Vùng đồng bằng sông Hồng,Vĩnh Phúc
Vùng đồng bằng sông Hồng,Bắc Ninh
Vùng đồng bằng sông Hồng,Thái Bình
Vùng đồng bằng sông Hồng,Nam Định
Vùng đồng bằng sông Hồng,Hà Nam
Vùng đồng bằng sông Hồng,Ninh Bình và Quảng Ninh.
Vùng Bắc Trung Bộ và duyên hải miền Trung,Thanh Hóa
Vùng Bắc Trung Bộ và duyên hải miền Trung,Nghệ An
Vùng Bắc Trung Bộ và duyên hải miền Trung,Hà Tĩnh
Vùng Bắc Trung Bộ và duyên hải miền Trung,Quảng Bình
Vùng Bắc Trung Bộ và duyên hải miền Trung,Quảng Trị
Vùng Bắc Trung Bộ và duyên hải miền Trung,Thừa Thiên - Huế
Vùng Bắc Trung Bộ và duyên hải miền Trung,Đà Nẵng
Vùng Bắc Trung Bộ và duyên hải miền Trung,Quảng Nam
Vùng Bắc Trung Bộ và duyên hải miền Trung,Quảng Ngãi
Vùng Bắc Trung Bộ và duyên hải miền Trung,Bình Định
Vùng Bắc Trung Bộ và duyên hải miền Trung,Phú Yên
Vùng Bắc Trung Bộ và duyên hải miền Trung,Khánh Hòa
Vùng Bắc Trung Bộ và duyên hải miền Trung,Ninh Thuận và Bình Thuận.
Vùng Tây Nguyên,Kon Tum
Vùng Tây Nguyên,Gia Lai
Vùng Tây Nguyên,Đắk Lắk
Vùng Tây Nguyên,Đắk Nông và Lâm Đồng.
Vùng Đông Nam Bộ,thành phố Hồ Chí Minh
Vùng Đông Nam Bộ,Đồng Nai
Vùng Đông Nam Bộ,Bà Rịa - Vũng Tàu
Vùng Đông Nam Bộ,Bình Dương
Vùng Đông Nam Bộ,Bình Phước
Vùng Đông Nam Bộ,Tây Ninh.
Vùng đồng bằng sông Cửu Long,thành phố Cần Thơ
Vùng đồng bằng sông Cửu Long,Long An
Vùng đồng bằng sông Cửu Long,Tiền Giang
Vùng đồng bằng sông Cửu Long,Bến Tre
Vùng đồng bằng sông Cửu Long,Trà Vinh
Vùng đồng bằng sông Cửu Long,Vĩnh Long
Vùng đồng bằng sông Cửu Long,An Giang
Vùng đồng bằng sông Cửu Long,Đồng Tháp
Vùng đồng bằng sông Cửu Long,Kiên Giang
Vùng đồng bằng sông Cửu Long,Hậu Giang
Vùng đồng bằng sông Cửu Long,Sóc Trăng
Vùng đồng bằng sông Cửu Long,Bạc Liêu và Cà Mau.
